Algorithm, Search strategy, query, time(ms, #configurations, #markings
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-13 F, 1.717, 443, 205
local, BestFS, DrinkVendingMachine-COL-02-CTLCardinality-12 F, 0.039, 18, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.275, 113, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.098, 5, 2
czero, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.247, 86, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.144, 18, 4
czero, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.101, 27, 5
czero, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.047, 1, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.198, 88, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.162, 40, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.255, 49, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.193, 65, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.124, 28, 7
czero, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.243, 66, 13
czero, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.077, 9, 0
czero, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.14, 57, 13
global, BestFS, ERK-PT-000001-CTLCardinality-10 T, 1.582, 113, 13
global, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.396, 117, 13
global, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.099, 9, 0
global, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.672, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.393, 79, 13
global, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.184, 48, 13
global, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.224, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.788, 106, 13
global, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.034, 1, 0
global, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.03, 5, 2
global, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.532, 65, 13
global, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.283, 104, 13
global, BestFS, ERK-PT-000001-CTLCardinality-1 F, 0.165, 40, 13
global, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.388, 66, 13
global, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.245, 57, 13
local, BestFS, ERK-PT-000001-CTLCardinality-10 T, 0.283, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-4 F, 0.239, 90, 13
local, BestFS, ERK-PT-000001-CTLCardinality-14 F, 0.131, 94, 13
local, BestFS, ERK-PT-000001-CTLCardinality-9 T, 0.022, 28, 7
local, BestFS, ERK-PT-000001-CTLCardinality-15 T, 0.23, 5, 2
local, BestFS, ERK-PT-000001-CTLCardinality-11 T, 0.234, 88, 13
local, BestFS, ERK-PT-000001-CTLCardinality-8 F, 0.066, 9, 0
local, BestFS, ERK-PT-000001-CTLCardinality-6 T, 0.165, 40, 13
local, BestFS, ERK-PT-000001-CTLCardinality-1 F, 0.033, 15, 6
local, BestFS, ERK-PT-000001-CTLCardinality-12 F, 0.29, 1, 0
local, BestFS, ERK-PT-000001-CTLCardinality-13 F, 0.116, 113, 13
local, BestFS, ERK-PT-000001-CTLCardinality-5 F, 0.232, 66, 13
local, BestFS, ERK-PT-000001-CTLCardinality-7 T, 0.09, 27, 5
local, BestFS, ERK-PT-000001-CTLCardinality-2 T, 0.15, 57, 13
local, BestFS, ERK-PT-000001-CTLCardinality-3 F, 0.186, 65, 13
czero, BestFS, ERK-PT-000010-CTLCardinality-1 F, 54516.2, 188190, 47047
czero, BestFS, ERK-PT-000010-CTLCardinality-2 F, 36249.3, 282115, 47047
czero, BestFS, ERK-PT-000010-CTLCardinality-0 T, 32613.9, 141157, 47047
czero, BestFS, ERK-PT-000010-CTLCardinality-6 F, 31825.7, 235246, 47047
czero, BestFS, ERK-PT-000010-CTLCardinality-5 T, 30708.4, 329332, 47047
czero, BestFS, ERK-PT-000010-CTLCardinality-13 T, 12270.5, 160610, 41783
czero, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.11, 13, 7
czero, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.062, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.067, 12, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.12, 1, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.065, 7, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.035, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.107, 18, 7
global, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.094, 12, 0
global, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.038, 7, 0
global, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.055, 1, 0
global, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.093, 10, 2
global, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.055, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-4 F, 32399.1, 282282, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-1 F, 29754.5, 188190, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-2 F, 20487.9, 282155, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-5 T, 19923.9, 329332, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-6 F, 18005.7, 235246, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-0 T, 16938.1, 141157, 47047
local, BestFS, ERK-PT-000010-CTLCardinality-13 T, 8497.85, 160610, 41783
local, BestFS, ERK-PT-000010-CTLCardinality-14 F, 2196.57, 185779, 47046
local, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.099, 18, 7
local, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.097, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.073, 7, 0
local, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.024, 1, 0
local, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.086, 13, 7
local, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.1, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.108, 12, 0
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-10 F, 81.454, 7505, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-6 F, 48.943, 6004, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-12 T, 38.17, 9007, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-14 F, 32.147, 6000, 1500
