Algorithm, Search strategy, Query, Modelname, #Results)
local, BestFS, CTLCardinality, SharedMemory-PT-000010, 
local, BestFS, CTLFireability, SharedMemory-PT-000010, 
local, BestFS, CTLFireabilitySimple, SharedMemory-PT-000010, 
local, BestFS, CTLCardinality, SharedMemory-PT-000020, 
local, BestFS, CTLFireability, SharedMemory-PT-000020, 
local, BestFS, CTLFireabilitySimple, SharedMemory-PT-000020, 
local, BestFS, CTLCardinality, SimpleLoadBal-PT-02, 14
local, BestFS, CTLFireability, SimpleLoadBal-PT-02, 13
local, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-02, 14
local, BestFS, CTLCardinality, SimpleLoadBal-PT-05, 10
local, BestFS, CTLFireability, SimpleLoadBal-PT-05, 6
local, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-05, 12
local, BestFS, CTLCardinality, SimpleLoadBal-PT-10, 
local, BestFS, CTLFireability, SimpleLoadBal-PT-10, 
local, BestFS, CTLFireabilitySimple, SimpleLoadBal-PT-10, 
local, BestFS, CTLCardinality, TokenRing-PT-005, 14
local, BestFS, CTLFireability, TokenRing-PT-005, 11
local, BestFS, CTLFireabilitySimple, TokenRing-PT-005, 13
local, BestFS, CTLCardinality, TokenRing-PT-010, 16
local, BestFS, CTLFireability, TokenRing-PT-010, 2
local, BestFS, CTLFireabilitySimple, TokenRing-PT-010, 3
local, BestFS, CTLCardinality, TokenRing-PT-015, 
local, BestFS, CTLFireability, TokenRing-PT-015, 
local, BestFS, CTLFireabilitySimple, TokenRing-PT-015, 
local, BestFS, CTLCardinality, UtahNoC-PT-none, 
local, BestFS, CTLFireability, UtahNoC-PT-none, 
local, BestFS, CTLFireabilitySimple, UtahNoC-PT-none, 
local, BestFS, CTLCardinality, Vasy2003-PT-none, 
local, BestFS, CTLFireability, Vasy2003-PT-none, 
local, BestFS, CTLFireabilitySimple, Vasy2003-PT-none, 
