Algorithm, Search strategy, Query, Modelname, #Results),
czero, DFS, CTLFireability, Railroad-PT-005,11,
czero, DFS, CTLFireabilitySimple, Railroad-PT-005,13,
czero, DFS, CTLCardinality, Railroad-PT-010, ,
czero, DFS, CTLFireability, Railroad-PT-010,1,
czero, DFS, CTLFireabilitySimple, Railroad-PT-010,4,
czero, DFS, CTLCardinality, Railroad-PT-020, ,
czero, DFS, CTLFireability, Railroad-PT-020, ,
czero, DFS, CTLFireabilitySimple, Railroad-PT-020,2,
czero, DFS, CTLCardinality, ResAllocation-PT-R002C002,5,
czero, DFS, CTLFireability, ResAllocation-PT-R002C002,8,
czero, DFS, CTLFireabilitySimple, ResAllocation-PT-R002C002,2,
czero, DFS, CTLCardinality, ResAllocation-PT-R003C002,13,
czero, DFS, CTLFireability, ResAllocation-PT-R003C002,11,
czero, DFS, CTLFireabilitySimple, ResAllocation-PT-R003C002,14,
czero, DFS, CTLCardinality, ResAllocation-PT-R003C003,13,
