Algorithm, Search strategy, Query, Modelname, #Results)
czero, BDFS, CTLCardinality, Railroad-PT-005, 14
czero, BestFS, CTLCardinality, Railroad-PT-005, 13
czero, BFS, CTLCardinality, Railroad-PT-005, 15
czero, CDFS, CTLCardinality, Railroad-PT-005, 13
czero, DFS, CTLCardinality, Railroad-PT-005, 13
global, BBFS, CTLCardinality, Railroad-PT-005, 16
global, BDFS, CTLCardinality, Railroad-PT-005, 12
global, BestFS, CTLCardinality, Railroad-PT-005, 10
global, BFS, CTLCardinality, Railroad-PT-005, 12
global, DFS, CTLCardinality, Railroad-PT-005, 14
local, BBFS, CTLCardinality, Railroad-PT-005, 2
local, BDFS, CTLCardinality, Railroad-PT-005, 6
local, BestFS, CTLCardinality, Railroad-PT-005, 8
local, BFS, CTLCardinality, Railroad-PT-005, 11
local, DFS, CTLCardinality, Railroad-PT-005, 11
czero, BBFS, CTLCardinality, RwMutex-PT-r0010w0010, 14
czero, BDFS, CTLCardinality, RwMutex-PT-r0010w0010, 14
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
czero, BFS, CTLCardinality, RwMutex-PT-r0010w0010, 12
czero, CDFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
czero, DFS, CTLCardinality, RwMutex-PT-r0010w0010, 14
global, BBFS, CTLCardinality, RwMutex-PT-r0010w0010, 14
global, BDFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
global, BestFS, CTLCardinality, RwMutex-PT-r0010w0010, 7
global, BFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
global, DFS, CTLCardinality, RwMutex-PT-r0010w0010, 15
local, BBFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
local, BDFS, CTLCardinality, RwMutex-PT-r0010w0010, 11
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0010, 12
local, BFS, CTLCardinality, RwMutex-PT-r0010w0010, 15
local, DFS, CTLCardinality, RwMutex-PT-r0010w0010, 13
czero, BBFS, CTLCardinality, RwMutex-PT-r0010w0020, 12
czero, BDFS, CTLCardinality, RwMutex-PT-r0010w0020, 11
czero, BestFS, CTLCardinality, RwMutex-PT-r0010w0020, 13
czero, BFS, CTLCardinality, RwMutex-PT-r0010w0020, 10
czero, CDFS, CTLCardinality, RwMutex-PT-r0010w0020, 13
czero, DFS, CTLCardinality, RwMutex-PT-r0010w0020, 13
global, BBFS, CTLCardinality, RwMutex-PT-r0010w0020, 15
global, BDFS, CTLCardinality, RwMutex-PT-r0010w0020, 13
global, BestFS, CTLCardinality, RwMutex-PT-r0010w0020, 9
global, BFS, CTLCardinality, RwMutex-PT-r0010w0020, 12
global, DFS, CTLCardinality, RwMutex-PT-r0010w0020, 7
local, BBFS, CTLCardinality, RwMutex-PT-r0010w0020, 5
local, BDFS, CTLCardinality, RwMutex-PT-r0010w0020, 3
local, BestFS, CTLCardinality, RwMutex-PT-r0010w0020, 7
local, BFS, CTLCardinality, RwMutex-PT-r0010w0020, 14
local, DFS, CTLCardinality, RwMutex-PT-r0010w0020, 8
czero, BBFS, CTLCardinality, SharedMemory-PT-000005, 15
czero, BDFS, CTLCardinality, SharedMemory-PT-000005, 13
czero, BestFS, CTLCardinality, SharedMemory-PT-000005, 12
