Algorithm, Search strategy, query, time(ms, #configurations, #markings
czero, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.078, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.033, 10, 2
czero, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.07, 7, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.055, 1, 0
czero, BestFS, ERK-PT-000010-CTLCardinality-15 F, 0.054, 13, 7
czero, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.058, 18, 7
global, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.078, 12, 0
global, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.052, 10, 2
global, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.072, 7, 0
global, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.09, 10, 2
global, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.067, 1, 0
local, BestFS, ERK-PT-000010-CTLCardinality-14 F, 0.196, 13, 7
local, BestFS, ERK-PT-000010-CTLCardinality-15 F, 2.146, 1016, 409
local, BestFS, ERK-PT-000010-CTLCardinality-7 F, 0.067, 12, 0
local, BestFS, ERK-PT-000010-CTLCardinality-10 T, 0.095, 18, 7
local, BestFS, ERK-PT-000010-CTLCardinality-12 T, 0.159, 10, 2
local, BestFS, ERK-PT-000010-CTLCardinality-9 T, 0.034, 7, 0
local, BestFS, ERK-PT-000010-CTLCardinality-11 T, 0.15, 1, 0
local, BestFS, ERK-PT-000010-CTLCardinality-8 F, 0.063, 10, 2
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-6 F, 47.749, 6004, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-14 F, 42.622, 5988, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-10 F, 45.091, 7505, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-12 T, 43.599, 9007, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-15 F, 20.538, 4253, 1458
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-8 F, 11.878, 3759, 1336
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-11 F, 11.255, 2992, 1500
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-4 T, 2.284, 805, 244
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-7 F, 2.173, 881, 196
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-3 F, 6.928, 3083, 537
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-13 T, 1.016, 361, 223
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-5 F, 1.048, 289, 182
czero, BestFS, HouseConstruction-PT-002-CTLCardinality-9 F, 0.794, 405, 158
global, BestFS, HouseConstruction-PT-002-CTLCardinality-4 T, 28285, 7505, 1500
